,keys,values
1181,Los amantes del Círculo Polar,['Los amantes del Círculo Polar']
1182,Abre los ojos,"['Reality Bites', 'The Importance of Being Earnest', 'Meet Me in St. Louis', 'The Dead Zone', 'The Mummy', 'Noel', 'The Thing Called Love', 'Moonstruck', 'Mission to Mars', 'Como agua para chocolate', 'The Notebook', 'Untamed Heart', 'Romeo + Juliet', 'Breaking the Waves', 'An Unfinished Life', 'Legend', 'White Palace', 'Ghost', 'Love Actually', 'The Fountain', 'A Night at the Roxbury', 'Abre los ojos', 'The Butterfly Effect', 'Highlander', 'The Man from Earth', 'Benny & Joon', 'Meet Joe Black', 'Indecent Proposal', 'Othello', 'Punch-Drunk Love', 'La jetée', 'Il postino', 'Practical Magic', 'Interview', 'Witness', 'August Rush', 'Keeping the Faith', 'Interview with the Vampire: The Vampire Chronicles', 'Sien nui yau wan', 'Win a Date with Tad Hamilton!', 'Splash', 'Bottle Rocket']"
1183,Eyes Wide Shut,"['Eyes Wide Shut', 'The Gauntlet', 'Wedding Crashers', 'Stage Beauty', 'Stagecoach', 'Barbarella', 'Shortbus', 'Trading Places', 'Un long dimanche de fiançailles', 'Husbands and Wives', 'Dorm Daze 2', 'Le notti di Cabiria', 'Hackers', 'Pretty Woman', 'Candy', ""Born Into Brothels: Calcutta's Red Light Kids"", 'Paint Your Wagon', 'Payback', 'Sydney', 'Leaving Las Vegas']"
1184,"Crna macka, beli macor","['The In-Laws', 'Take the Money and Run', 'Big Business', 'Four Rooms', 'The Muppets Take Manhattan', 'Meet the Fockers', 'The Out-of-Towners', 'O Brother, Where Art Thou?', 'What Happens in Vegas', 'The Upside of Anger', 'Naked Gun 33 1/3: The Final Insult', 'Mrs. Doubtfire', 'Crna macka, beli macor']"
1185,Licence to Kill,"['Straw Dogs', 'Licence to Kill', 'The Hills Have Eyes II', 'Irréversible', 'Death and the Maiden', 'The Crow: Salvation', 'Kate & Leopold', 'Deliverance', 'Beverly Hills Cop III', 'Derailed', 'The Hills Have Eyes', 'Chinjeolhan geumjassi']"
1186,Repulsion,"[""Muriel's Wedding"", 'Something to Talk About', 'Videodrome', ""Nim's Island"", 'Scream', 'Mary Poppins', 'Idioterne', 'Femme Fatale', 'The Forgotten', 'Hoodwinked!', 'Gothika', 'Anastasia', 'Heathers', ""Bill & Ted's Excellent Adventure"", 'The Good Girl', 'Repulsion', 'Memoirs of a Geisha', 'Boys on the Side', 'My Fair Lady', 'Candyman: Farewell to the Flesh', 'Nine to Five', 'Pocahontas', 'Alien', 'Da hong deng long gao gao gua', 'Girl, Interrupted', 'Majo no takkyûbin', 'Naked Lunch', 'A Map of the World', 'Fried Green Tomatoes', 'A Streetcar Named Desire', ""One Flew Over the Cuckoo's Nest"", 'Tank Girl', 'Snow White and the Seven Dwarfs', 'Kalifornia', 'Persepolis', 'Altered States', 'Alien³', 'Emma', ""Le fabuleux destin d'Amélie Poulain"", 'The Mother', 'The Machinist', 'Woman on Top', 'Adventures in Babysitting', 'Not Without My Daughter', ""Smilla's Sense of Snow"", 'Ghost World', 'Copycat', 'Prozac Nation', 'Buffy the Vampire Slayer', 'Lara Croft: Tomb Raider', 'Panic Room', 'The Next Karate Kid', 'Fear and Loathing in Las Vegas', 'Solyaris', 'One True Thing', 'Vanity Fair', 'The Nanny Diaries', 'Carrie', 'A Beautiful Mind', ""Breakfast at Tiffany's"", ""Bill & Ted's Bogus Journey"", 'El orfanato', 'Donnie Darko', 'The Last Unicorn']"
1187,Deuce Bigalow: Male Gigolo,"['Scary Movie 2', 'The Fabulous Baker Boys', 'Naked', 'Once Upon a Time in Mexico', 'The Black Dahlia', 'Deuce Bigalow: Male Gigolo', ""I'm Not There."", 'Spartan', 'Blue Crush', 'Never Die Alone', 'The Jackal', 'Far and Away', ""You Don't Mess with the Zohan"", 'I Know What You Did Last Summer', 'The Human Stain', 'Lone Star State of Mind', 'Disturbia']"
1188,Magnolia,"['Blast from the Past', 'Les invasions barbares', 'White Noise', 'Star Wars: Episode VI - Return of the Jedi', 'Magnolia', 'Elf', 'Two for the Money', 'What Happens in Vegas', 'Parenthood', 'Hook', 'Yankee Doodle Dandy', 'Son of Rambow', 'A Bronx Tale', 'Me and You and Everyone We Know', 'Big Fish', 'The Running Man', 'Terms of Endearment', 'City by the Sea', 'Knockaround Guys', 'Life as a House', 'Ikiru', 'Unbreakable', 'Serendipity', 'In the Name of the Father', 'One True Thing', 'Indiana Jones and the Last Crusade', 'The Three Musketeers', ""La marche de l'empereur""]"
1189,Dead Calm,"['Striptease', ""Carlito's Way"", 'After Hours', 'Roxanne', ""Grandma's Boy"", 'The Village', 'The Tailor of Panama', 'Dead Calm', 'Closer', 'Saw III', 'About Schmidt', 'Romeo + Juliet', 'Hostel', 'The Man Who Fell to Earth', 'The Girl Next Door', 'Sånger från andra våningen', 'Suna no onna', 'Stage Beauty', 'Eastern Promises', 'Invasion of the Body Snatchers', 'Scary Movie 4', 'The People vs. Larry Flynt', 'Lord of the Flies', 'Sixteen Candles', 'Forgetting Sarah Marshall', 'Le professionnel', 'The Old Man and the Sea', 'The 40 Year Old Virgin', 'Believers', 'Beautiful People', 'Waking the Dead', 'Das Experiment', 'Shark Tale', 'The Dukes of Hazzard', 'Nineteen Eighty-Four', 'The Juror', 'Single White Female', 'Body Heat', 'Chasing Liberty', 'The Color of Money', ""White Men Can't Jump"", 'Dracula', 'Dorm Daze 2', 'The Omen', 'Van Wilder', 'A History of Violence', 'The Conversation', 'The Heartbreak Kid', '21 Grams', 'Ken Park', 'Se, jie', 'Psycho', 'The Cider House Rules', 'Lethal Weapon', 'The Full Monty', 'The Unbearable Lightness of Being', 'Fast Times at Ridgemont High', 'End of Days', 'The Lookout', 'Le retour de Martin Guerre', 'Prozac Nation', 'Menace II Society', 'The Three Burials of Melquiades Estrada', 'The Quiet', 'The Fog', 'Witness', 'Rumor Has It...', 'Knocked Up', ""You Don't Mess with the Zohan"", 'Saw IV', 'Red Sonja', 'Desperado', 'Le grand bleu', 'American Pie', 'Cat People']"
1190,Beautiful People,"['Saw III', 'Sånger från andra våningen', 'Shortbus', 'Running Scared', 'The 40 Year Old Virgin', 'Die fetten Jahre sind vorbei', ""White Men Can't Jump"", 'The Quick and the Dead', 'A History of Violence', 'Prozac Nation', 'The Quiet', 'Desperado', 'The Full Monty', 'Red Sonja', 'Stripes', 'Closer', 'Striptease', 'Cat People', ""Carlito's Way"", 'Roxanne', 'All the Right Moves', 'Dead Calm', 'Romeo + Juliet', 'Stage Beauty', 'Invasion of the Body Snatchers', 'Sixteen Candles', 'Le professionnel', 'Das Experiment', 'The Dukes of Hazzard', 'Body Heat', 'Dracula', 'Van Wilder', 'Rounders', 'Margot at the Wedding', '21 Grams', 'Ken Park', 'The Unbearable Lightness of Being', 'Fast Times at Ridgemont High', 'Saving Silverman', 'The Three Burials of Melquiades Estrada', 'Rumor Has It...', 'After Hours', 'Alpha Dog', 'The Tailor of Panama', 'The Five Senses', 'Untamed Heart', 'Two for the Money', 'About Schmidt', 'The Man Who Fell to Earth', 'Scary Movie 4', 'Eastern Promises', 'The People vs. Larry Flynt', 'The Last Kiss', 'Forgetting Sarah Marshall', 'Beautiful People', 'Waking the Dead', 'Chasing Liberty', 'The Omen', 'Dr T and the Women', 'Se, jie', 'Any Given Sunday', 'End of Days', 'The Lookout', '10,000 BC', 'Knocked Up', 'Saw IV', 'American Pie', 'Hostel', ""Grandma's Boy"", 'The Last King of Scotland', 'Ice Age', 'The Girl Next Door', 'Revenge of the Nerds', 'Conan the Barbarian', 'Head in the Clouds', 'Believers', 'Nineteen Eighty-Four', 'The Juror', 'Single White Female', 'The Color of Money', 'Book of Shadows: Blair Witch 2', 'The Heartbreak Kid', 'Dorm Daze 2', 'The Sleeping Dictionary', 'The Cider House Rules', 'Lethal Weapon', 'Le retour de Martin Guerre', 'Dangerous Liaisons', 'Inventing the Abbotts', 'Adaptation.', 'Witness', ""You Don't Mess with the Zohan"", 'Resident Evil: Apocalypse']"
1191,Wonder Boys,"['Love and Death on Long Island', 'Bedazzled', 'Capote', 'Total Eclipse', 'Housekeeping', 'The Boondock Saints', 'Boat Trip', 'Brokeback Mountain', 'Gods and Monsters', 'Death to Smoochy', 'Withnail & I', 'Little Miss Sunshine', ""Billy's Hollywood Screen Kiss"", 'Biloxi Blues', 'Wonder Boys', 'The Boys in the Band', 'Kinsey', 'The Talented Mr. Ripley', 'Breakfast on Pluto', 'The Celluloid Closet', 'Mr. & Mrs. Smith', 'Remember the Titans']"
1192,American Psycho,"['American Psycho', 'Scream 2', 'Murder by Numbers', 'The King of Comedy', 'Gone with the Wind', 'Mommie Dearest']"
1193,The Virgin Suicides,"[""Carlito's Way"", 'Videodrome', 'The Last King of Scotland', 'The Hudsucker Proxy', 'The Hours', 'Apollo 13', 'Dead Poets Society', 'House of Sand and Fog', 'Romeo + Juliet', 'Tigerland', 'Now and Then', 'The Da Vinci Code', 'Seppuku', 'Saturday Night Fever', 'Private Parts', 'Maid in Manhattan', 'Girl, Interrupted', 'Ali', 'What Dreams May Come', 'Jisatsu sâkuru', 'Der Himmel über Berlin', 'Pump Up the Volume', 'Who the #$&% Is Jackson Pollock?', 'Penelope', 'Breakfast on Pluto', 'Der Untergang', 'Starsky & Hutch', 'The Virgin Suicides', 'Elizabeth', 'Festen', 'The Brady Bunch Movie', 'Fear and Loathing in Las Vegas', 'Au revoir les enfants', 'Midnight Express', 'The Spy Who Loved Me', 'Boogie Nights', 'Almost Famous', 'Remember the Titans']"
1194,Idioterne,"['Prêt-à-Porter', 'Caddyshack', 'Eraserhead', 'Idioterne', 'Idiocracy', 'The Good Girl', 'Crank', 'Repulsion', 'Homeward Bound: The Incredible Journey', 'Bio-Dome', 'Private Parts', '37°2 le matin', 'The Libertine', 'Ace Ventura: Pet Detective', 'Le charme discret de la bourgeoisie', 'A Streetcar Named Desire', ""One Flew Over the Cuckoo's Nest"", 'Marie Antoinette', 'Kalifornia', 'Dr T and the Women', 'Dogville', 'Police Academy 2: Their First Assignment', 'The Rules of Attraction', 'A Beautiful Mind', 'Persona', 'Donnie Darko', 'Splash']"
1195,"In weiter Ferne, so nah!","['Reality Bites', 'Lethal Weapon 3', 'Heaven Can Wait', 'Shall we dansu?', 'Now and Then', 'Army of Darkness', 'In weiter Ferne, so nah!', ""Mr. Holland's Opus"", ""Baby's Day Out"", 'Set It Off', 'Made in America', 'A Night at the Roxbury', 'Speed', 'The Prophecy', 'Sister Act 2: Back in the Habit', 'Bean', 'What Dreams May Come', 'Never Been Kissed', 'A Life Less Ordinary', 'Angels in the Outfield', 'Conquest of the Planet of the Apes', 'Wall Street', 'One, Two, Three', 'Buffy the Vampire Slayer', 'Menace II Society', 'The Brady Bunch Movie', 'The Next Karate Kid', 'In America']"
1196,Proof of Life,"['Apocalypse Now', 'The Taking of Pelham One Two Three', 'The Ref', 'The Cable Guy', 'Proof of Life', 'Ruthless People', 'Terminator Salvation', 'The Mosquito Coast', 'Funny Games U.S.', 'King Kong', 'The Thin Red Line', 'George of the Jungle', 'Inside Man', 'Anaconda', 'Die Hard', ""'Crocodile' Dundee II"", 'The Rundown', 'The Jungle Book', 'Predator', 'Ransom', 'Fitzcarraldo', 'Toy Soldiers', 'Rescue Dawn', 'The Road to El Dorado', 'John Q', 'Hostage', ""The Making of 'Along Came a Spider'"", 'The Mexican', 'Thunderbirds', 'Family Plot', 'Phone Booth']"
1197,Born on the Fourth of July,"['Forrest Gump', 'Apocalypse Now', ""Twelve O'Clock High"", 'Across the Universe', 'Pierrot le fou', 'Born on the Fourth of July', 'Good Morning, Vietnam', 'Platoon', 'First Blood', 'Air America', 'We Were Soldiers', 'Blind Fury', 'Full Metal Jacket', 'Dead Presidents']"
1198,Amores perros,"['Jackie Brown', 'Vantage Point', 'Wicker Park', 'Pulp Fiction', 'Reservoir Dogs', 'Cold Mountain', 'Eternal Sunshine of the Spotless Mind', 'Primer', 'Following', 'The Limey', 'Memento', 'The Falcon and the Snowman', 'Babel', 'Rashômon', 'Amores perros', 'Traffic', '11:14']"
1199,Nattevagten,"['Stardust', 'Velvet Goldmine', 'The Last King of Scotland', 'Duma', 'Die Fälscher', 'The Silence of the Lambs', 'Elling', 'Revolver', 'Frequency', 'The Man Who Fell to Earth', 'Funny Games U.S.', 'Passenger 57', 'Quills', 'Forgetting Sarah Marshall', 'Sabrina', 'Strangers on a Train', '8MM', '28 Days Later...', 'Nattevagten', 'Kinsey', 'Amistad', 'Any Given Sunday', 'The Rules of Attraction', 'The Texas Chainsaw Massacre', 'The Dark Knight', 'Vabank', 'Phone Booth', 'Fantasia']"
1200,Lara Croft: Tomb Raider,"[""Muriel's Wedding"", 'Something to Talk About', 'Runaway Jury', ""Nim's Island"", 'Scream', 'Mary Poppins', 'Femme Fatale', 'Hoodwinked!', 'Gothika', 'Scooby Doo 2: Monsters Unleashed', 'Anastasia', 'Heathers', 'The Incredibles', ""Bill & Ted's Excellent Adventure"", 'Repulsion', 'Memoirs of a Geisha', 'Million Dollar Baby', 'Scooby-Doo', 'Boys on the Side', 'G.I. Jane', 'My Fair Lady', 'Candyman: Farewell to the Flesh', 'Taxi 2', 'Nine to Five', 'Pocahontas', 'Alien', 'Bad News Bears', 'Da hong deng long gao gao gua', 'Girl, Interrupted', 'Majo no takkyûbin', 'Veronica Guerin', 'Fried Green Tomatoes', 'A Map of the World', 'Intolerable Cruelty', 'Big Business', 'Tank Girl', 'Snow White and the Seven Dwarfs', 'Persepolis', 'Alien³', 'Emma', ""Le fabuleux destin d'Amélie Poulain"", 'The Mother', 'Woman on Top', 'Adventures in Babysitting', 'Not Without My Daughter', ""Smilla's Sense of Snow"", 'Ghost World', 'Copycat', 'Prozac Nation', 'Buffy the Vampire Slayer', 'Lara Croft: Tomb Raider', 'The Contender', 'Panic Room', 'The Next Karate Kid', 'One True Thing', 'Vanity Fair', 'The Nanny Diaries', 'Carrie', ""Breakfast at Tiffany's"", ""Bill & Ted's Bogus Journey"", 'El orfanato', 'The Last Unicorn']"
1201,Cocktail,"['Malice', 'Hitch', 'Flubber', 'Cocktail', 'Old School', 'Urban Legend', 'Oscar and Lucinda']"
1202,Tillsammans,"['Kissing Jessica Stein', 'Boys on the Side', 'Higher Learning', 'Mulholland Dr.', 'Bound', ""Kelly's Heroes"", 'Tillsammans', 'Fucking Åmål', 'Heavenly Creatures', 'The Hours', 'Le professionnel', 'Imagine Me & You', 'Easy Rider', 'Housekeeping', ""The Children's Hour"", 'From Hell']"
1203,Not Without My Daughter,"['Something to Talk About', 'Behind Enemy Lines', 'The Accused', 'White Noise', 'Rugrats in Paris: The Movie - Rugrats II', 'Ray', 'Hoodwinked!', 'Parenthood', 'Memoirs of a Geisha', 'The French Connection', 'Nine to Five', 'Ondskan', 'La pianiste', 'Mildred Pierce', 'Fried Green Tomatoes', 'Gorillas in the Mist: The Story of Dian Fossey', 'Snow White and the Seven Dwarfs', 'Chariots of Fire', 'Not Without My Daughter', 'Prozac Nation', 'Raging Bull', 'One True Thing', 'Carrie', 'The Last Unicorn', 'Femme Fatale', 'Sleeping with the Enemy', 'Candyman: Farewell to the Flesh', ""'Breaker' Morant"", 'Majo no takkyûbin', 'The Wild', 'A Map of the World', 'Tank Girl', 'Antwone Fisher', 'Alien³', 'Woman on Top', 'Ghost World', 'In the Name of the Father', 'The Next Karate Kid', 'Lean on Me', ""This Boy's Life"", 'The Life and Death of Peter Sellers', ""Breakfast at Tiffany's"", 'Heathers', 'North Country', 'Drop Dead Fred', 'Donnie Brasco', 'Mary Poppins', 'Bad ma ra khahad bord', 'Gothika', 'Little Women', ""Bill & Ted's Excellent Adventure"", 'Quiz Show', 'Open Water', 'Boys on the Side', 'Ever After', 'Divine Secrets of the Ya-Ya Sisterhood', 'Alien', 'To Wong Foo Thanks for Everything, Julie Newmar', 'Antonia', 'Dreamer: Inspired by a True Story', 'United 93', 'Emma', ""Le fabuleux destin d'Amélie Poulain"", 'Copycat', 'Finding Neverland', 'Panic Room', 'Into the Wild', 'The Nanny Diaries', 'Eight Men Out', 'Vanity Fair', ""Bill & Ted's Bogus Journey"", 'Alive', ""Muriel's Wedding"", ""Nim's Island"", 'Scream', 'Anastasia', 'Repulsion', ""Charlie Wilson's War"", 'My Fair Lady', 'Pocahontas', 'Da hong deng long gao gao gua', 'Girl, Interrupted', 'Terms of Endearment', '21', 'The Great Train Robbery', 'Persepolis', 'The Mother', 'Adventures in Babysitting', 'Wall Street', ""Smilla's Sense of Snow"", 'Fitzcarraldo', 'Buffy the Vampire Slayer', 'Dumb & Dumber', 'Lara Croft: Tomb Raider', 'Freaky Friday', 'El orfanato']"
1204,Spy Game,"['Casino Royale', 'The Tailor of Panama', 'Das Leben der Anderen', 'Tinker, Tailor, Soldier, Spy', 'Never Say Never Again', 'The Man with One Red Shoe', 'Enigma', 'I Spy', ""Jumpin' Jack Flash"", 'Get Smart', 'Eraser', 'Agent Cody Banks', 'Spy Game', 'Austin Powers: International Man of Mystery', 'The Quiet American', 'Mission: Impossible', 'The Good Shepherd', 'Æon Flux', 'Man on Fire', 'North by Northwest', 'Austin Powers: The Spy Who Shagged Me', 'Jing Ke ci Qin Wang', 'True Lies']"
1205,Gosford Park,"['The Age of Innocence', 'Snatch.', 'A Good Woman', 'Narc', 'The AristoCats', ""Don't Say a Word"", 'The Remains of the Day', 'Sunset Blvd.', 'Mary Reilly', 'Gosford Park', 'In the Valley of Elah', 'Bad Boys']"
1206,I Am Sam,"['Waking the Dead', 'The Weather Man', '50 First Dates', 'Overboard', ""Ocean's Twelve"", 'Freaks', 'Star Trek VI: The Undiscovered Country', 'Kramer vs. Kramer', ""She's All That"", 'In & Out', 'The Ballad of Jack and Rose', 'Tonari no Totoro', ""Gentleman's Agreement"", 'I Am Sam', 'Father of the Bride', 'Say Anything...', 'Corrina, Corrina']"
1207,Monster's Ball,"['Catwoman', 'Sister Act', ""Guess Who's Coming to Dinner"", 'The Sweetest Thing', ""Monster's Ball"", 'The Green Mile']"
1208,The Mothman Prophecies,"['Urban Legends: Final Cut', 'Cellular', 'The Fisher King', 'Urban Legend', 'The Mothman Prophecies']"
1209,Shogun Assassin,"['The Day the Earth Stood Still', 'Star Trek VI: The Undiscovered Country', 'Nothing But Trouble', 'The Darjeeling Limited', 'Escape from L.A.', 'The Brave Little Toaster', 'Eight Legged Freaks', 'Stagecoach', 'Around the World in 80 Days', 'Sleeping with the Enemy', 'The AbsentMinded Professor', 'Con Air', 'Dragonslayer', 'The Upside of Anger', 'The Crow: City of Angels', 'Cube', 'Willow', 'The Lord of the Rings: The Return of the King', 'Kiss the Girls', 'Cool Hand Luke', ""One Flew Over the Cuckoo's Nest"", 'Akira', 'The Great Escape', 'Sleuth', 'Shogun Assassin', 'Titan A.E.', 'Solyaris', 'Freaks', 'The Bucket List', 'The Day of the Triffids', 'Ned Kelly']"
1210,About a Boy,"['The Sixth Sense', 'War of the Buttons', 'Pay It Forward', 'Todo sobre mi madre', 'The United States of Leland', 'Final Destination 2', 'Riding in Cars with Boys', 'The Lost Boys', 'You Can Count on Me', 'Coach Carter', 'Welcome to the Dollhouse', 'Jerry Maguire', 'Parenthood', 'Die Blechtrommel', 'Heart and Souls', ""Look Who's Talking"", 'Peter Pan', 'The American President', 'The Client', 'Kikujirô no natsu', 'Notting Hill', 'Io non ho paura', 'Ultraviolet', 'Damien: Omen II', 'Paradise Lost: The Child Murders at Robin Hood Hills', 'Angels in the Outfield', 'A Little Princess', '10 Things I Hate About You', 'Alfie', 'Yi ge dou bu neng shao', 'Moskva slezam ne verit', 'The Machinist', 'How to Lose a Guy in 10 Days', 'Mermaids', 'Les choristes', 'Erin Brockovich', 'The Water Horse', 'Must Love Dogs', 'Close Encounters of the Third Kind', 'About a Boy', 'Carrie', 'The Spiderwick Chronicles', 'James and the Giant Peach', 'The World According to Garp']"
1211,Men in Black II,"['Casino Royale', 'The Cannonball Run', 'The Black Dahlia', 'Police Academy 2: Their First Assignment', 'Conan the Destroyer', 'Men in Black II', 'Lake Placid', 'Bend It Like Beckham', 'I Know What You Did Last Summer', 'Miss Pettigrew Lives for a Day', 'Wedding Crashers', ""St. Elmo's Fire"", 'Scary Movie 3', 'Date Movie']"
1212,Lucía y el sexo,"['Prêt-à-Porter', 'Ôdishon', 'One Hour Photo', 'The Specialist', 'Como agua para chocolate', 'Alpha Dog', 'Lucía y el sexo', 'Saw III', 'Requiem for a Dream', 'Breaking the Waves', 'Romeo + Juliet', 'Black Snake Moan', 'Timecop', 'The Man Who Fell to Earth', 'Cabin Fever', 'Don Juan DeMarco', 'Threesome', 'Shallow Hal', 'Love & Basketball', 'Eastern Promises', 'Shortbus', 'Ultimo tango a Parigi', 'What Planet Are You From?', 'Private Parts', '37°2 le matin', 'Le professionnel', ""Before the Devil Knows You're Dead"", 'Election', 'Ace Ventura: Pet Detective', 'The Sweet Hereafter', 'EuroTrip', 'Species', ""Something's Gotta Give"", 'Nineteen Eighty-Four', 'The Juror', 'Highlander III: The Sorcerer', 'Book of Shadows: Blair Witch 2', 'Boomerang', 'The Omen', 'Hatuna Meuheret', 'Marie Antoinette', 'A History of Violence', ""White Men Can't Jump"", 'Margot at the Wedding', 'Hackers', ""Le fabuleux destin d'Amélie Poulain"", 'The Sleeping Dictionary', 'The Cider House Rules', 'Weird Science', 'The Dreamers', 'McCabe & Mrs. Miller', 'The Piano', 'Inventing the Abbotts', 'Amores Possíveis', 'Adaptation.', 'The Lair of the White Worm', 'Risky Business', 'Hollow Man', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'Analyze This', 'Saw IV', 'Basic Instinct', 'Cat People']"
1213,Punch-Drunk Love,"['Reality Bites', 'The Importance of Being Earnest', 'Meet Me in St. Louis', ""The Astronaut's Wife"", 'Noel', 'The Thing Called Love', 'Moonstruck', 'Mission to Mars', 'Como agua para chocolate', 'The Notebook', 'Untamed Heart', 'Romeo + Juliet', 'Breaking the Waves', 'Disclosure', 'Legend', 'Monty Python Live at the Hollywood Bowl', 'White Palace', 'Ghost', 'Hot Shots! Part Deux', 'Love Actually', 'The Fountain', 'Delicatessen', 'Abre los ojos', 'The Firm', 'The Butterfly Effect', 'And Now for Something Completely Different', 'Benny & Joon', 'Meet Joe Black', 'Indecent Proposal', 'Othello', 'Punch-Drunk Love', 'Naked Gun 33 1/3: The Final Insult', 'La jetée', 'Il postino', 'The Lookout', 'Cruel Intentions', 'Dangerous Liaisons', 'Practical Magic', 'Witness', 'August Rush', 'Keeping the Faith', 'Duck Soup', 'Sien nui yau wan', 'Win a Date with Tad Hamilton!', 'Splash', 'Bottle Rocket']"
1214,Roger Dodger,"['Simon', 'Charlotte Gray', 'I Love You to Death', 'Swingers', 'Elling', 'Onegin', 'Johnny English', 'Mr. Deeds', 'Shaft', 'Mickey Blue Eyes', 'THX 1138', 'Conan the Destroyer', 'Michael Clayton', 'Radio', 'Zoolander', 'Alex & Emma', 'Nell', 'Knockaround Guys', 'Harold & Kumar Go to White Castle', 'Antwone Fisher', 'Antonia', 'Alfie', 'Broadway Danny Rose', 'Roger Dodger', 'The World of Henry Orient', 'Norbit', 'Little Voice', 'Ned Kelly']"
1215,Elling,"['Stardust', 'Simon', 'Duma', 'Charlotte Gray', 'Elling', 'Revolver', 'Johnny English', 'Mr. Deeds', 'Mickey Blue Eyes', 'The Muppet Christmas Carol', 'THX 1138', 'Michael Clayton', 'Bad Santa', 'Radio', 'Sabrina', 'Zoolander', 'The 40 Year Old Virgin', 'Biloxi Blues', 'Alex & Emma', 'Nell', 'Harold & Kumar Go to White Castle', 'Antwone Fisher', 'Antonia', 'Nattevagten', 'Broadway Danny Rose', 'The Apartment', 'Roger Dodger', 'Norbit', 'Little Voice', 'Vabank', 'Fantasia', 'Ned Kelly']"
1216,25th Hour,"['The Fabulous Baker Boys', ""Carlito's Way"", 'Dreamscape', 'Ôdishon', 'Mou gaan dou', 'Coach Carter', 'Kiss Kiss Bang Bang', 'Papurika', 'Buffalo Soldiers', 'Saturday Night Fever', 'Smultronstället', 'Queen of the Damned', 'Con Air', 'A Night at the Roxbury', 'A Nightmare on Elm Street 3: Dream Warriors', 'Feast', 'Pulp Fiction', 'La science des rêves', 'MirrorMask', '25th Hour', 'Casablanca', 'City of Angels', 'Matador', 'Rebecca', 'Waking Life', 'Vanilla Sky', 'Boogie Nights', 'Brazil', 'Rushmore', 'Bed of Roses']"
1217,Monty Python Live at the Hollywood Bowl,"['The Meaning of Life', 'Monty Python Live at the Hollywood Bowl', 'Get Smart', 'Junior', 'And Now for Something Completely Different', 'Hot Shots! Part Deux', 'Duplex', 'Be Kind Rewind', 'Super Troopers', 'Punch-Drunk Love', 'Naked Gun 33 1/3: The Final Insult', 'Duck Soup', 'Delicatessen', 'Team America: World Police']"
1218,All the Real Girls,"['View from the Top', 'The Hot Chick', 'Viskningar och rop', 'Johnny English', 'Raye makhfi', 'All the Real Girls', 'Die fetten Jahre sind vorbei']"
1219,Lilja 4-ever,"['Sleepers', 'The Hand That Rocks the Cradle', 'The Quiet', 'La mala educación', 'Mystic River', 'Mysterious Skin', 'Lilja 4-ever']"
1220,Bulletproof Monk,['Bulletproof Monk']
1221,Blinkende lygter,"['Walk on Water', 'A Room with a View', 'Gegen die Wand', 'The Last King of Scotland', 'Death and the Maiden', 'Jackass Number Two', 'Die Fälscher', 'Closer', 'Hatuna Meuheret', 'Forgetting Sarah Marshall', 'Total Eclipse', 'Blinkende lygter', 'Old School', 'Thank You for Smoking', 'Amistad', 'The World According to Garp', 'Titus']"
1222,Identity,"['Scream 3', 'M', 'Frenzy', 'Double Indemnity', 'Haute tension', 'The Silence of the Lambs', 'Bad Boys', 'Kind Hearts and Coronets', 'In a Lonely Place', 'The Big Sleep', 'Four Brothers', 'The Bone Collector', 'Psycho', 'Dead Again', 'Identity', 'The Life of David Gale', 'Malice', 'Touch of Evil', 'Tape', 'Halloween 5', 'The Amityville Horror', 'A Nightmare on Elm Street', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Chain Reaction', 'American Ninja', 'A Shot in the Dark', ""Child's Play 2"", 'Diva', 'Death Proof', 'Saw II', 'Kiss the Girls', 'Body Heat', 'Rope', 'Charade', 'The Maltese Falcon', 'The Mexican', 'The Three Faces of Eve', 'Me, Myself & Irene', 'Chinjeolhan geumjassi', 'The Hitcher', 'Friday the 13th Part 2', 'L.A. Confidential', 'Taking Lives', 'Frequency', 'Mr. Brooks', 'No Way Out', 'Swimming Pool', 'U.S. Marshals', 'Strangers on a Train', 'Friday the 13th', 'The Number 23', 'Kate & Leopold', '12 Angry Men', 'Fallen', 'Proof', 'Zodiac', 'Urban Legends: Final Cut', 'Copycat', 'Natural Born Killers', 'Murder by Numbers', 'The Tragedy of Macbeth', 'Vacancy', 'Scream', 'Air Force One', ""Child's Play 3"", 'Manhunter', 'The Frighteners', ""The Devil's Rejects"", 'À bout de souffle', 'Memento', 'See No Evil, Hear No Evil', 'Hot Fuzz', 'The Cell', 'Snow Falling on Cedars', 'In the Heat of the Night', 'Road to Perdition', 'The Constant Gardener', ""The General's Daughter"", 'Witness', 'The Spanish Prisoner', 'Frailty', 'Stuck on You', 'Bottle Rocket']"
